wallet_address,wallet_label,chain_key,chain_name,vm,asset_type,symbol,name,contract,balance,price_eur,value_eur,flags
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,ACN,ACN (crypto),ACN:crypto,10.46572475,0.0054,0.05651491365,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,ADA,ADA (crypto),ADA:crypto,335.21448814,0.1658,55.578562133612,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,AGENT,AGENT (crypto),AGENT:crypto,13.96615,0.000137,0.00191336255,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,AIAGENT,AIAGENT (crypto),AIAGENT:crypto,25.43292,0.000013,0.00033062796,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,AIT,AIT (crypto),AIT:crypto,9.30579,0.0101,0.093988479,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,AKITA,AKITA (crypto),AKITA:crypto,0.22947737,0.0118,0.002707832966,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,ALKIMI,ALKIMI (crypto),ALKIMI:crypto,2.25057383,0.0009,0.002025516447,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,APP,APP (crypto),APP:crypto,26.18103,,,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,ARB,ARB (crypto),ARB:crypto,8.26995087,0.0688,0.568972619856,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,ARTY,ARTY (crypto),ARTY:crypto,2.24785,0.0274,0.06159109000000001,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,AVAX,AVAX (crypto),AVAX:crypto,0.8266387,6.06,5.009430522,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,BCUT,BCUT (crypto),BCUT:crypto,1.42731317,0.0007,0.000999119219,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,BEER,BEER (crypto),BEER:crypto,4861.22576266,6e-7,0.002916735457596,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,BENDOG,BENDOG (crypto),BENDOG:crypto,41.95333,0.0015,0.062929995,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,BLAZE,BLAZE (crypto),BLAZE:crypto,349.26,0.000011,0.00384186,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,BNB,BNB (crypto),BNB:crypto,0.09952981,514.8,51.237946188,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,BRETT,BRETT (crypto),BRETT:crypto,8.66699,0.00483,0.0418615617,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,BTC,BTC (crypto),BTC:crypto,0.00828277,54854.94,454.3508513838,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,BUZ,BUZ (crypto),BUZ:crypto,0.34276321,0.0169,0.005792698248999999,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,CAGA,CAGA (crypto),CAGA:crypto,478.4815711,0.000024,0.0114835577064,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,CAM,CAM (crypto),CAM:crypto,3.58146,0.0007,0.002507022,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,CAT,CAT (crypto),CAT:crypto,1999.55735,0.00000123,0.0024594555405,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,CGPT,CGPT (crypto),CGPT:crypto,7.16817331,0.0173,0.124009398263,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,COOKIE,COOKIE (crypto),COOKIE:crypto,5.11174,0.00877,0.0448299598,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,DCB,DCB (crypto),DCB:crypto,8.76408503,0.0001,0.0008764085030000001,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,DCK,DCK (crypto),DCK:crypto,14.48225923,,,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,DEAI,DEAI (crypto),DEAI:crypto,2.73951,0.0018,0.004931118,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,DEFI,DEFI (crypto),DEFI:crypto,15.99034,0.000167,0.00267038678,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,DESCI,DESCI (crypto),DESCI:crypto,17.38485,0.0005,0.008692425,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,DEVVE,DEVVE (crypto),DEVVE:crypto,1.90717803,0.0109,0.020788240527,
cex:bitpanda:cmqcomx270002mv01i740h5t1,Bitpanda,CEX_BITPANDA,Bitpanda,EVM,token,DOG,DOG (crypto),DOG:crypto,67.704,0.000542,0.03669556799999999,
